cache_size,block_size,total_reads,total_writes,read_hits,read_misses,write_hits,write_misses
4096,4,20000,10000,7504,2496,8976,1024
4096,8,20000,10000,7775,2225,9488,512
4096,16,20000,10000,7944,2056,9744,256
4096,32,20000,10000,8102,1898,9872,128
4096,64,20000,10000,8147,1853,9936,64
4096,128,20000,10000,8067,1933,9968,32
4096,256,20000,10000,8127,1873,9984,16
8192,4,20000,10000,9076,924,7952,2048
8192,8,20000,10000,9453,547,8976,1024
8192,16,20000,10000,9701,299,9488,512
8192,32,20000,10000,9847,153,9744,256
8192,64,20000,10000,9922,78,9872,128
8192,128,20000,10000,9961,39,9936,64
8192,256,20000,10000,9981,19,9968,32
16384,4,20000,10000,9065,935,7500,2500
16384,8,20000,10000,9455,545,8750,1250
16384,16,20000,10000,9707,293,9375,625
16384,32,20000,10000,9850,150,9687,313
16384,64,20000,10000,9922,78,9843,157
16384,128,20000,10000,9961,39,9921,79
16384,256,20000,10000,9981,19,9960,40
32768,4,20000,10000,9042,958,7500,2500
32768,8,20000,10000,9449,551,8750,1250
32768,16,20000,10000,9707,293,9375,625
32768,32,20000,10000,9847,153,9687,313
32768,64,20000,10000,9922,78,9843,157
32768,128,20000,10000,9961,39,9921,79
32768,256,20000,10000,9981,19,9960,40
65536,4,20000,10000,9065,935,7500,2500
65536,8,20000,10000,9454,546,8750,1250
65536,16,20000,10000,9705,295,9375,625
65536,32,20000,10000,9848,152,9687,313
65536,64,20000,10000,9922,78,9843,157
65536,128,20000,10000,9960,40,9921,79
65536,256,20000,10000,9981,19,9960,40
