cache_size,block_size,total_reads,total_writes,read_hits,read_misses,write_hits,write_misses

4096,4,20000,10000,7500,2500,8976,1024

4096,8,20000,10000,8750,1250,9488,512

4096,16,20000,10000,9375,625,9744,256

4096,32,20000,10000,9687,313,9872,128

4096,64,20000,10000,9843,157,9936,64

4096,128,20000,10000,9921,79,9968,32

4096,256,20000,10000,9960,40,9984,16

8192,4,20000,10000,7500,2500,7952,2048

8192,8,20000,10000,8750,1250,8976,1024

8192,16,20000,10000,9375,625,9488,512

8192,32,20000,10000,9687,313,9744,256

8192,64,20000,10000,9843,157,9872,128

8192,128,20000,10000,9921,79,9936,64

8192,256,20000,10000,9960,40,9968,32

16384,4,20000,10000,7500,2500,7500,2500

16384,8,20000,10000,8750,1250,8750,1250

16384,16,20000,10000,9375,625,9375,625

16384,32,20000,10000,9687,313,9687,313

16384,64,20000,10000,9843,157,9843,157

16384,128,20000,10000,9921,79,9921,79

16384,256,20000,10000,9960,40,9960,40

32768,4,20000,10000,7500,2500,7500,2500

32768,8,20000,10000,8750,1250,8750,1250

32768,16,20000,10000,9375,625,9375,625

32768,32,20000,10000,9687,313,9687,313

32768,64,20000,10000,9843,157,9843,157

32768,128,20000,10000,9921,79,9921,79

32768,256,20000,10000,9960,40,9960,40

65536,4,20000,10000,7500,2500,7500,2500

65536,8,20000,10000,8750,1250,8750,1250

65536,16,20000,10000,9375,625,9375,625

65536,32,20000,10000,9687,313,9687,313

65536,64,20000,10000,9843,157,9843,157

65536,128,20000,10000,9921,79,9921,79

65536,256,20000,10000,9960,40,9960,40

